"id","slug","title","company","apply_url","result","status","final_url","error"
"ff9d3f66-7624-41d7-867b-1638a26afa7c","manager-healthcare-analytics-enterprise-provider-analytics-centene-corporation-batch2","Manager, Healthcare Analytics, Enterprise Provider Analytics","Centene Corporation","https://jobs.centene.com/us/en/jobs/1636413/manager-healthcare-analytics-enterprise-provider-analytics/","broken","404","https://jobs.centene.com/us/en/jobs/1636413/manager-healthcare-analytics-enterprise-provider-analytics/",""
"7777151a-7eab-4a8e-b15e-84c0f9f90c09","specialist-appeals-grievances-member-medicaid-marketplace-experience-molina-healthcare-bat","Specialist, Appeals & Grievances (Member Medicaid/Marketplace experience)","Molina Healthcare","https://careers.molinahealthcare.com/job/united-states/specialist-appeals-and-grievances-member-medicaid-marketplace-experience/21726/93649680304","broken","404","https://careers.molinahealthcare.com/job/united-states/specialist-appeals-and-grievances-member-medicaid-marketplace-experience/21726/93649680304",""
"42fed8c0-e6b4-4d2f-8ff3-cb4b1d892a6f","specialist-appeals-grievances-molina-healthcare-batch-two","Specialist, Appeals & Grievances","Molina Healthcare","https://careers.molinahealthcare.com/job/united-states/specialist-appeals-and-grievances/21726/93799579856","broken","404","https://careers.molinahealthcare.com/job/united-states/specialist-appeals-and-grievances/21726/93799579856",""
"963b2db4-d7f3-4470-9738-a3e7a0f90e02","carelon-behavioral-health-legal-counsel-sr-elevance-health-batch-two","Carelon Behavioral Health Legal Counsel Sr","Elevance Health","https://careers.elevancehealth.com/carelon-behavioral-health-legal-counsel-sr/job/073F83219DA4B3BE38B66952A6F209B8","broken","404","https://careers.elevancehealth.com/carelon-behavioral-health-legal-counsel-sr/job/073F83219DA4B3BE38B66952A6F209B8",""
"6b3c21e1-50b1-476f-8f61-ffad43c390a2","insted-virtual-medical-control-vmc-nurse-practitioner-part-time-caresource-commonwealth-ca","instED Virtual Medical Control (VMC) Nurse Practitioner - Part Time","CareSource / Commonwealth Care Alliance","https://careers.caresource.com/search/jobdetails/insted-virtual-medical-control-vmc-nurse-practitioner---poolpart-time---9167-per-hourremotepacific-or-mountain-time/0da4b5bb-80bd-4fe8-8612-6bba29dbbbf8","broken","404","https://careers.caresource.com/search/jobdetails/insted-virtual-medical-control-vmc-nurse-practitioner---poolpart-time---9167-per-hourremotepacific-or-mountain-time/0da4b5bb-80bd-4fe8-8612-6bba29dbbbf8",""
"ee5023bd-8628-48b0-a5d3-e93f0f693a79","remote-registered-nurse-rn-utilization-reviewer-massachusetts-only-caresource-commonwealth","REMOTE - Registered Nurse (RN) Utilization Reviewer - Massachusetts Only","CareSource / Commonwealth Care Alliance","https://careers.caresource.com/search/jobdetails/remote---registered-nurse-rn-utilization-reviewer---massachusetts-only/1069b820-385e-4f42-bae5-9abb664b4c9f","broken","404","https://careers.caresource.com/search/jobdetails/remote---registered-nurse-rn-utilization-reviewer---massachusetts-only/1069b820-385e-4f42-bae5-9abb664b4c9f",""
"225d1c84-842a-4350-bf4a-51faabfd9e03","qai-medical-economics-analyst-ii-caresource-commonwealth-care-alliance-batch-two","QAI Medical Economics Analyst II","CareSource / Commonwealth Care Alliance","https://careers.caresource.com/search/jobdetails/qai-medical-economics-analyst-ii/f950f03f-a5bc-44e0-a8b3-4b400827707c","broken","404","https://careers.caresource.com/search/jobdetails/qai-medical-economics-analyst-ii/f950f03f-a5bc-44e0-a8b3-4b400827707c",""
"d726fe13-2bd6-4fe6-884e-d25e84e5ecf8","vice-president-network-development-contracting-centene-corporation-batch-two","Vice President, Network Development & Contracting","Centene Corporation","https://jobs.centene.com/us/en/jobs/1635715/vice-president-network-development-contracting/","broken","404","https://jobs.centene.com/us/en/jobs/1635715/vice-president-network-development-contracting/",""
"95ce9f9d-da65-464f-9528-0acd211ca4ff","quantitative-consultant-remote-unitedhealth-group-optum-batch2","Quantitative Consultant - Remote","UnitedHealth Group / Optum","https://careers.unitedhealthgroup.com/job/eden-prairie/quantitative-consultant-remote/34088/94867786272","broken","404","https://careers.unitedhealthgroup.com/job/eden-prairie/quantitative-consultant-remote/34088/94867786272",""
"9a4c497b-7a7f-45b2-8d93-eeb644c63484","compliance-consultant-remote-unitedhealth-group-optum-batch2","Compliance Consultant - Remote","UnitedHealth Group / Optum","https://careers.unitedhealthgroup.com/job/de-pere/compliance-consultant-remote/34088/94611043184","broken","404","https://careers.unitedhealthgroup.com/job/de-pere/compliance-consultant-remote/34088/94611043184",""
"13c8ae44-38fb-448b-9d61-46c2a7b74fe4","senior-technical-project-manager-data-analytics-optum-state-government-remote-unitedhealth","Senior Technical Project Manager, Data Analytics - Optum State Government - Remote","UnitedHealth Group / Optum","https://careers.unitedhealthgroup.com/job/belleville/senior-technical-project-manager-data-analytics-optum-state-government-remote/34088/94343457536","broken","404","https://careers.unitedhealthgroup.com/job/belleville/senior-technical-project-manager-data-analytics-optum-state-government-remote/34088/94343457536",""
"f692a006-05af-4b14-9db8-3b77328acbce","care-manager-behavioral-health-centene-corporation-batch-two","Care Manager - Behavioral Health","Centene Corporation","https://jobs.centene.com/us/en/jobs/1639261/care-manager-behavioral-health/","broken","404","https://jobs.centene.com/us/en/jobs/1639261/care-manager-behavioral-health/",""
"79f33ac9-edd1-408d-ab12-46b07ee23257","care-coordinator-ii-centene-corporation-batch-two","Care Coordinator II","Centene Corporation","https://jobs.centene.com/us/en/jobs/1639578/care-coordinator-ii/","broken","404","https://jobs.centene.com/us/en/jobs/1639578/care-coordinator-ii/",""
